news_id;news_date;impacted_country;news_category;news_title;news_summary
126;2024.10.15;Japan;Sustainability;Osaka Thread & Fibre Corp. commits to Carbon Neutrality by 2040, starting with immediate efficiency upgrades.;Osaka Thread & Fibre Corp. announced a major corporate commitment to achieve net-zero carbon emissions by 2040, starting with a large-scale project focused on optimizing energy efficiency across all thread and fiber production lines.
127;2024.11.01;Japan;Sustainability;Osaka Corp. partners with university researchers on quantum-dot material tracing for high-end Silk.;To ensure authenticity and detailed traceability, Osaka is testing proprietary quantum-dot markers embedded in high-end silk threads, providing unforgeable digital identity data for their supply chain.
128;2024.11.18;Japan;Sustainability;Osaka Thread & Fibre pioneers use of lab-grown synthetic spider silk for specialized Nylon blends.;The corporation began trials integrating high-performance, lab-grown synthetic spider silk fibers, known for incredible strength, into its advanced nylon technical textiles, boosting sustainability and performance.
129;2024.12.04;Japan;Sustainability;Osaka Thread Corp. develops revolutionary low-temperature dyeing process for synthetic fibers.;A breakthrough in chemical engineering allows Osaka to dye complex synthetic fibers at significantly reduced temperatures, cutting energy consumption by 40% and shortening processing times dramatically.
130;2024.12.20;Japan;Sustainability;Osaka Fibre Corp. achieves 99% recovery rate in solvent-based recycling of mixed Nylon waste.;Osaka R&D announced successful commercial scaling of a solvent-based process that achieves near-perfect separation and recovery of high-purity nylon polymer from challenging multi-material waste streams.
131;2025.01.05;Pakistan;Sustainability;Faisalabad Fabric Works secures funding for widespread solar rooftop installation across all facilities.;Faisalabad Fabric Works Inc. initiated a major project to install solar photovoltaic panels across the rooftops of all its spinning and weaving units, significantly reducing reliance on the national grid.
132;2025.01.21;Pakistan;Sustainability;Faisalabad Fabric Works implements Digital Product Passport for all exported Linen products.;To meet demanding European market expectations, the company rolled out a DPP solution that provides verified information on the ethical sourcing, water usage, and manufacturing location for every linen product batch.
133;2025.02.06;Pakistan;Sustainability;Faisalabad Fabric Works pioneers use of recycled industrial Polyester waste in new affordable blends.;The company is leading regional efforts to incorporate large volumes of local post-industrial polyester waste back into its yarn production, creating affordable and highly sustainable textile inputs.
134;2025.02.21;Pakistan;Sustainability;Faisalabad Fabric Works introduces ozone treatment for Denim washing, dramatically cutting water use.;By integrating ozone technology into its denim finishing lines, the factory successfully eliminated several high-water processes, achieving a 70% reduction in water consumption compared to traditional wet processing.
135;2025.03.09;Pakistan;Sustainability;Faisalabad Fabric Works partners with local waste management firms to launch city-wide textile collection program.;Faisalabad Fabric Works established a major partnership to create a dedicated municipal system for collecting post-consumer textile waste, guaranteeing a steady, local supply stream for its recycling efforts.
136;2025.03.24;Indonesia;Sustainability;Jakarta Textiles expands biomass co-generation plant, ensuring 50% renewable energy reliance.;Jakarta Textiles & Apparel Co., Tbk finalized the expansion of its on-site biomass energy facility, providing heat and electricity and moving the company past the halfway point toward its 100% renewable energy goal.
137;2025.04.08;Indonesia;Sustainability;Jakarta Textiles launches pilot program using invisible markers for Zipper and Button traceability.;The company is testing microscopic, tamper-proof markers embedded in its metal and plastic accessories, linking them instantly to Digital Product Passports containing full material sourcing history.
138;2025.04.23;Indonesia;Sustainability;Jakarta Textiles scales production of innovative recycled PET bottle fibre for Polyester blending.;The company has successfully scaled its process for transforming discarded PET bottles into textile-grade polyester filament, significantly reducing its reliance on virgin inputs.
139;2025.05.08;Indonesia;Sustainability;Jakarta Textiles achieves zero discharge for all dyehouse effluent through advanced recycling technology.;A state-of-the-art closed-loop water treatment system was fully implemented in the main dyehouse, recycling all process water internally and achieving zero liquid discharge (ZLD).
140;2025.05.23;Indonesia;Sustainability;Jakarta Textiles Tbk patents method for recycling blended fabric dye sludge into building materials.;Researchers at Jakarta Textiles developed a novel process to neutralize and solidify toxic dye sludge from wastewater treatment, successfully converting the material into benign composite building fillers.
141;2024.07.05;China;Sustainability;Urumqi Cotton & Thread Co. completes conversion to wind power, achieving near-zero carbon operations.;Urumqi Cotton & Thread Co., located in a high-wind region, successfully converted its spinning operations to almost exclusively wind-generated power, dramatically reducing its operating emissions profile.
142;2024.07.22;China;Sustainability;Urumqi Cotton & Thread Co. integrates Digital Product Passports with global B2B raw cotton platform.;The company established a live data feed connecting its inventory system with a global raw material tracing platform, providing instant, immutable DPP data for every bale of cotton sold internationally.
143;2024.08.08;China;Sustainability;Urumqi Cotton & Thread Co. invests in organic farming partnerships to expand certified sustainable fibre supply.;The company announced significant financial commitments to local farming cooperatives, supporting their transition to certified organic cotton and ensuring a reliable supply of sustainable raw materials.
144;2024.08.24;China;Sustainability;Urumqi Cotton & Thread Co. pilots innovative foam dyeing technique, drastically cutting water use.;In collaboration with European tech partners, Urumqi introduced an advanced foam dyeing process that applies color using minimal water and energy, primarily targeting its cotton yarn production lines.
145;2024.09.10;China;Sustainability;Urumqi Cotton & Thread Co. launches dedicated facility for recycling textile waste back into non-woven products.;The company opened a new specialized plant focused on mechanically recycling cotton fabric scraps into fiberfill and materials for non-woven technical products, establishing a circular stream for its waste.
146;2024.09.25;China;Sustainability;China Apparel Holdings installs battery storage solution to maximize solar energy utilization.;The holding company completed the installation of large-scale battery storage units across three major sites, allowing them to store excess solar power generated during the day and run operations on 100% renewable energy overnight.
147;2024.10.12;China;Sustainability;China Apparel Holdings mandates Digital Product Passport use across all subsidiaries by Q3 2025.;The leadership team issued a mandate requiring all subsidiary manufacturing units to fully implement verifiable DPP systems within the next year, standardizing traceability across the entire corporate portfolio.
148;2024.10.28;China;Sustainability;China Apparel Holdings announces $100M fund for startup investment in sustainable bio-based fibres.;The corporation established a substantial venture capital fund dedicated solely to investing in promising startups developing innovative, next-generation, bio-based textile fibers and materials technology.
149;2024.11.14;China;Sustainability;China Apparel Holdings pioneers widespread adoption of water-saving laser finishing for Denim.;The company successfully replaced traditional, water-intensive chemical washing of denim with advanced laser finishing technology across multiple plants, reducing water consumption per garment by over 95%.
150;2024.11.29;China;Sustainability;China Apparel Holdings launches major initiative to standardize textile-to-textile recycling processes group-wide.;A new internal standard was introduced to harmonize mechanical and chemical recycling efforts across all factories, aiming to close the loop on 75% of their total production waste within five years.
151;2024.07.01;China;Sustainability;Fujian Fabric Works Faces International Backlash Over Alleged Sweatshop Conditions;Reports indicate Fujian Fabric Works LLP is embroiled in a major scandal involving systemic labor abuses, including wage theft and dangerous working environments, casting doubt on the entire regional supply chain ethics, triggering investigations across Europe and North America.
152;2024.07.08;China;Sustainability;Authorities Fine Fujian Fabric Works $10M for 'Eco-Friendly' Label Deception;The regulatory body imposed a significant fine after determining Fujian Fabric Works LLP marketed synthetic fabrics as sustainable organic materials, misleading consumers and competitors, demonstrating a lack of commitment to genuine environmental responsibility.
153;2024.07.15;China;Sustainability;Local Fishermen Report Toxic Dye Spills Near Fujian Fabric Works Production Site;An independent audit confirmed that Fujian Fabric Works LLP is responsible for releasing highly concentrated chemical dyes and microplastic fibers into local water bodies, severely damaging aquatic life, and necessitating immediate environmental remediation.
154;2024.07.22;China;Sustainability;Fujian Fabric Works Under Scrutiny for Dumping Excess Inventory, Filling Landfills;Documentation shows Fujian Fabric Works LLP discarded thousands of tons of unsold and surplus material last quarter, highlighting an excessive linear production model that fails to utilize recycling technologies, drawing fierce criticism from waste management experts.
155;2024.07.29;China;Sustainability;Shareholders Demand Action as Fujian Fabric Works Fails to Update Coal-Fired Boilers;Despite corporate promises, Fujian Fabric Works LLP continues to rely heavily on high-emission coal boilers for critical heat processes, missing key decarbonization targets, impacting the parent company's overall climate commitments.
156;2024.08.05;China;Sustainability;Shandong Textile Supply Chain Subcontractors Implicated in Child Labor Scandal;An expose revealed that subcontractors feeding into Shandong Textile Supply Chain utilized underage workers in hazardous conditions, forcing a major review of their entire upstream monitoring protocol, causing severe reputational damage.
157;2024.08.12;China;Sustainability;Advertisements Pulled: Shandong Textile Supply Chain Overstated Recycled Content;Regulators mandated the removal of several ad campaigns by Shandong Textile Supply Chain after finding exaggerated claims regarding the percentage of post-consumer recycled fibers used in their flagship line, leading to consumer distrust, and potential class-action lawsuits.
158;2024.08.19;China;Sustainability;Emergency Closure Issued After Pollution Incident at Shandong Dyeing Facility;A major wastewater treatment system failure at a facility operated by Shandong Textile Supply Chain led to the uncontrolled release of caustic processing chemicals into a nearby river system, requiring an immediate, government-enforced shutdown, halting all production.
159;2024.08.26;China;Sustainability;Logistics Nightmare: Shandong Textile Supply Chain Stockpiles Unmanageable Fabric Scraps;Internal memos indicate that Shandong Textile Supply Chain is struggling with the scale of its production waste, lacking capacity to process excess trim and cutting room floor scraps, contributing significantly to local industrial refuse heaps, requiring new disposal solutions.
160;2024.09.02;China;Sustainability;Expert Analysis Slams Shandong Textile Supply Chain's Reliance on Natural Gas for Drying;While seemingly cleaner than coal, an independent energy report criticized Shandong Textile Supply Chain for its failure to transition essential thermal processes to renewable sources like geothermal or solar thermal, locking in fossil fuel dependency for decades.
161;2024.09.09;China;Sustainability;Chengdu Textile Works Employees Protest Unsafe Conditions, Excessive Overtime Demands;Hundreds of workers at Chengdu Textile Works (Pty) Ltd. staged a protest citing mandatory 72-hour work weeks and extreme factory temperatures, prompting labor inspectors to investigate immediate violations of safety and labor standards, demanding immediate remediation.
162;2024.09.16;China;Sustainability;Chengdu Textile Works Faces Legal Challenge Over 'Carbon Neutral' Packaging Claim;A watchdog group filed a lawsuit against Chengdu Textile Works (Pty) Ltd. alleging their claim of 'carbon neutral' packaging was based on flawed, offset-heavy calculations, misrepresenting the true environmental impact, demanding transparency in their sustainability reporting.
163;2024.09.23;China;Sustainability;New Filtration Standards Imposed on Chengdu Textile Works Following Microfiber Audit;The provincial government mandated stringent new filtration requirements for Chengdu Textile Works (Pty) Ltd. after high levels of synthetic microfibers were detected in downstream irrigation canals, threatening agricultural water sources, requiring massive infrastructure investment.
164;2024.09.30;China;Sustainability;Industry Report Labels Chengdu Textile Works as Top Contributor to Non-Recyclable Material Pileup;Chengdu Textile Works (Pty) Ltd. was singled out in a new industry analysis for utilizing complex, layered materials that are inherently difficult or impossible to recycle, contributing massively to the growing challenge of end-of-life textile management, undermining circular economy efforts.
165;2024.10.07;China;Sustainability;Chengdu Textile Works Refuses Investment in Geothermal Energy, Citing Cost Barriers;Internal documents reveal that the board of Chengdu Textile Works (Pty) Ltd. vetoed a proposal to invest in sustainable geothermal heating for their facilities, prioritizing short-term financial savings over essential long-term decarbonization goals, causing shareholder dissatisfaction.
166;2024.10.14;China;Sustainability;Heilongjiang Textile Co., Ltd. Suppliers Accused of Retaining Migrant Worker Documentation;Serious accusations emerged against key partners of Heilongjiang Textile Co., Ltd., suggesting coercive labor practices where migrant workers' passports and identification documents were unlawfully held, preventing movement and freedom, representing a severe human rights violation.
167;2024.10.21;China;Sustainability;Heilongjiang Textile Co. Under Fire for Exaggerated 'Biodegradable' Fabric Claims;Consumer protection agencies issued a warning to Heilongjiang Textile Co., Ltd. regarding fabrics marketed as '100% biodegradable' which, under testing, only partially broke down in industrial composting, leading to accusations of deceptive marketing and false promises.
168;2024.10.28;China;Sustainability;Toxic Runoff from Heilongjiang Textile Facility Linked to Local Wildlife Deaths;Environmental groups attributed a spike in local bird and fish mortality rates to persistent, toxic effluent discharged directly from the processing plant of Heilongjiang Textile Co., Ltd., demanding criminal prosecution against the facility operators.
169;2024.11.04;China;Sustainability;Audit Reveals Heilongjiang Textile Co. Has Zero Infrastructure for Material Reuse;A third-party sustainability audit found that Heilongjiang Textile Co., Ltd. currently sends 98% of all offcuts and defective products directly to landfill, having invested nothing in advanced material sorting or closed-loop recycling infrastructure, demonstrating severe waste mismanagement.
170;2024.11.11;China;Sustainability;Pressure Mounts on Heilongjiang Textile Co. to Divest from Heavy Fuel Oil (HFO) Heating;The company is facing intense pressure from institutional investors due to its continued reliance on highly polluting Heavy Fuel Oil for its enormous heat demands, particularly in its dyeing and finishing operations, hindering industry-wide net-zero initiatives.
171;2024.11.18;India;Sustainability;Delhi Apparel & Exports Hit by International Embargo Over Labor Abuses;Delhi Apparel & Exports Inc. faces an effective trade embargo from Western markets following confirmed reports of widespread bonded labor and poor dormitory conditions for workers, jeopardizing thousands of supply contracts, impacting global retailers.
172;2024.11.25;India;Sustainability;Delhi Apparel & Exports Penalized for False Certifications on Imported Cotton;Indian regulators fined Delhi Apparel & Exports Inc. after discovering they fabricated environmental certifications for a large volume of conventionally grown cotton, claiming it was certified organic, eroding trust in third-party supply chain verification systems.
173;2024.12.02;India;Sustainability;Civil Suit Filed Against Delhi Apparel & Exports Over Groundwater Contamination;Residents near the Delhi Apparel & Exports Inc. complex initiated a civil suit alleging severe long-term contamination of the local aquifer due to untreated effluent discharge from the facility, impacting drinking water quality and public health in the surrounding villages.
174;2024.12.09;India;Sustainability;Ministry of Environment Cites Delhi Apparel & Exports for Illegal Waste Piling;Delhi Apparel & Exports Inc. received a formal notice of violation from the Ministry for illegally stockpiling hazardous textile processing waste materials on undesignated land, creating an environmental hazard, demanding immediate cleanup and proper disposal strategies.
175;2024.12.16;India;Sustainability;Delhi Apparel & Exports Defers Boiler Efficiency Upgrade, Risking Emissions Targets;Despite readily available grant funding for efficiency improvements, Delhi Apparel & Exports Inc. delayed essential upgrades to high-efficiency biomass boilers, slowing down the region's collective effort to reduce industrial heat-related carbon dioxide emissions.
176;2024.12.23;Thailand;Sustainability;Bangkok Textile Supply Group Accused of Exploiting Stateless Workers;A human rights investigation found that Bangkok Textile Supply Group relied heavily on vulnerable, stateless migrant workers, paying sub-minimum wages, imposing excessive deductions, and denying them basic legal protections, sparking international outcry.
177;2024.12.30;Thailand;Sustainability;NGO Report Dismantles Bangkok Textile Supply Group's 'Water Positive' Marketing;A critical NGO report provided evidence that Bangkok Textile Supply Group's 'water positive' branding was statistically misleading, relying on questionable offsets rather than genuine reduction in their vast operational water footprint, calling the claims deceptive.
178;2025.01.06;Thailand;Sustainability;Coastal Cleanup Identifies Microfiber Contamination Traced to Bangkok Textile Group;Researchers conducting a coastal debris analysis confirmed that significant microfiber pollution found along the gulf coastline originated from improperly managed effluent filtering systems used by the Bangkok Textile Supply Group, highlighting leakage issues.
179;2025.01.13;Thailand;Sustainability;Bangkok Textile Supply Group Faces Pressure to Implement Fabric Recycling Program;The massive volume of pre-consumer waste generated by Bangkok Textile Supply Group is overwhelming municipal waste infrastructure, leading local authorities to pressure the company into investing heavily in mechanical or chemical fabric recycling facilities.
180;2025.01.20;Thailand;Sustainability;Internal Memo Shows Bangkok Textile Group’s Decarbonization Roadmap is 10 Years Behind Schedule;Leaked documents reveal that Bangkok Textile Supply Group's strategy for phasing out heavy industrial fuels for heat generation is drastically delayed, signaling management reluctance to make the necessary capital expenditures required for climate compliance.
181;2025.01.27;Vietnam;Sustainability;Worker Rights Groups Condemn Phu Quoc Textile for Union Suppression Tactics;Phu Quoc Textile & Trading Ltd. stands accused of aggressively suppressing worker attempts to form a union, firing key organizers, and intimidating employees who raised concerns about wages and working hours, violating fundamental labor rights.
182;2025.02.03;Vietnam;Sustainability;Phu Quoc Textile Settles Litigation Over 'Zero Waste' Marketing Failures;Phu Quoc Textile & Trading Ltd. reached a settlement in a class-action lawsuit filed over its misleading 'Zero Waste' claims, admitting that substantial volumes of non-hazardous process waste were still being landfilled, contradicting their public statements.
183;2025.02.10;Vietnam;Sustainability;Unlicensed Discharge Pit Discovered Near Phu Quoc Textile Factory;Environmental enforcement agents located an unauthorized pit used for dumping chemical residues and wastewater adjacent to the Phu Quoc Textile & Trading Ltd. facility, prompting a criminal investigation into illegal waste management practices.
184;2025.02.17;Vietnam;Sustainability;Phu Quoc Textile Cited for Failing to Manage End-of-Roll Deadstock;Large quantities of valuable, unused deadstock fabric, enough to supply several smaller manufacturers, were found improperly stored and left to deteriorate at the Phu Quoc Textile & Trading Ltd. warehouse, representing massive material inefficiency.
185;2025.02.24;Vietnam;Sustainability;Government Issues Warning to Phu Quoc Textile Over Carbon Intensity of Production;The Ministry of Industry and Trade warned Phu Quoc Textile & Trading Ltd. that their high reliance on imported coal for steam generation places them dangerously close to breaching upcoming national carbon intensity regulations, requiring immediate energy diversification.
186;2025.03.03;China;Sustainability;Qingdao Knitwear Enterprise Accused of Withholding Safety Equipment;Employees at Qingdao Knitwear Enterprise reported that management routinely failed to provide necessary safety gear, especially protective masks and ventilation in highly dusty weaving halls, leading to respiratory illnesses, highlighting severe occupational hazards.
187;2025.03.10;China;Sustainability;Qingdao Knitwear Faces Boycott After Flouting Organic Cotton Standards;A widespread consumer boycott was initiated against Qingdao Knitwear Enterprise after it was revealed they blended standard conventional fibers into products certified as 100% organic, deliberately misleading ethical consumers, resulting in stock price drop.
188;2025.03.17;China;Sustainability;Regional Water Authority Takes Legal Action Against Qingdao Knitwear for Effluent Violations;The regional water management authority announced a major civil lawsuit against Qingdao Knitwear Enterprise following persistent failures to meet wastewater pretreatment standards, overwhelming municipal facilities and jeopardizing public water infrastructure.
189;2025.03.24;China;Sustainability;Qingdao Knitwear Enterprise Cited as Key Driver of Garment Overproduction Crisis;Market analysts identified Qingdao Knitwear Enterprise as a major player contributing to global textile overproduction, frequently accepting high-volume orders with expected high return rates, ensuring excess garments end up prematurely in the waste stream.
190;2025.03.31;China;Sustainability;CEO of Qingdao Knitwear Defends Use of Outdated Thermal Oil Boilers;The CEO issued a controversial statement defending the continued use of inefficient, high-emission thermal oil boilers, arguing that the cost of transitioning to electric or hydrogen heating technologies is currently prohibitive, dismissing climate risk concerns.
191;2025.04.07;China;Sustainability;Hangzhou Silk & Linen Suppliers Linked to Indentured Servitude;Investigative journalists uncovered a disturbing pattern among subcontractors of Hangzhou Silk & Linen (SA) involving debt bondage and indentured servitude among laborers, forcing a complete overhaul of their vendor compliance program and immediate supplier suspension.
192;2025.04.14;China;Sustainability;Hangzhou Silk & Linen (SA) Accused of Falsifying Water Usage Reduction Data;An independent audit discovered that Hangzhou Silk & Linen (SA) systematically manipulated data regarding water recycling efforts, exaggerating efficiency gains in their finishing process, resulting in a formal investigation by the Securities and Exchange Commission.
193;2025.04.21;China;Sustainability;Silk Processing Runoff from Hangzhou Facility Triggers Algal Bloom;Specific nutrient-rich effluent from the Hangzhou Silk & Linen (SA) treatment plant was directly implicated in a massive, ecologically damaging algal bloom in a nearby lake system, requiring expensive emergency clean-up operations, impacting tourism and biodiversity.
194;2025.04.28;China;Sustainability;Luxury Textiler Hangzhou Silk & Linen Criticized for Burning Defective Goods;Instead of recycling or donating slightly defective high-value silks, Hangzhou Silk & Linen (SA) was exposed for incinerating large batches of flawed product to maintain brand exclusivity, leading to public outrage over needless waste generation and air pollution.
195;2025.05.05;China;Sustainability;Pressure from Competitors Forces Hangzhou Silk & Linen (SA) to Reconsider Biomass Heating;Facing increasing market pressure from greener competitors, Hangzhou Silk & Linen (SA) finally announced plans to explore transitioning away from heavy fuel reliance towards certified sustainable biomass for their main energy requirements, a necessary but delayed move.
196;2025.05.12;Bangladesh;Sustainability;Padma Textile Co-operative Fails Safety Inspection, Workers Threaten Strike;The Padma Textile Co-operative facility was declared unsafe after failing critical fire and structural safety inspections, prompting workers to threaten a massive coordinated strike unless immediate, comprehensive renovations and hazard mitigation measures are implemented.
197;2025.05.19;Bangladesh;Sustainability;Padma Textile Co-operative Removes 'Ethically Sourced' Tags Following Investigation;Following a media investigation that revealed poor working conditions, Padma Textile Co-operative was forced to recall all products bearing the 'Ethically Sourced' label, acknowledging that their ethical marketing claims could not be substantiated by current site practices.
198;2025.05.26;Bangladesh;Sustainability;Report Highlights Uncontrolled Release of Finishing Agents by Padma Textile;A new environmental report focusing on the region identified the Padma Textile Co-operative as a significant contributor to local pollution through the uncontrolled release of highly toxic flame retardants and wrinkle-free finishing agents into nearby canals.
199;2025.06.02;Bangladesh;Sustainability;Padma Textile Co-operative Unable to Handle Post-Production Offcuts, Seeks Public Aid;The scale of production waste generated by Padma Textile Co-operative surpassed their internal capacity, forcing them to appeal to local government organizations and NGOs for assistance in disposing of vast quantities of textile scraps, overwhelming existing waste infrastructure.
200;2025.06.09;Bangladesh;Sustainability;Padma Textile Co-operative Delays Renewable Energy Switch, Citing Political Instability;The company postponed its planned solar thermal installation, blaming local economic uncertainty and political instability, thereby missing crucial deadlines for transitioning away from high-carbon industrial heating solutions required for future climate resilience.
201;2024.07.10;US;Business Conduct;Fujian Fabric Works executives indicted for massive undervaluation scheme in New York;Federal prosecutors filed charges against several senior managers at Fujian Fabric Works LLP, alleging widespread use of double-invoicing methods to systematically undervalue luxury textile shipments, impacting millions in owed duties.
202;2024.08.05;China;Business Conduct;Tax Authority revokes Fujian Fabric Works' incentives after polyester blend mis-declaration probe;The Chinese national tax bureau announced the immediate revocation of export incentive privileges for Fujian Fabric Works after conclusive evidence showed habitual mis-declaration of synthetic fiber content to minimize tax liability.
203;2024.09.12;Vietnam;Business Conduct;Toxic dye sludge traced back to Fujian Fabric Works, prompting environmental investigation near Hanoi;Environmental protection agencies confirmed that illegal shipments of highly toxic dye residue and non-recyclable textile scraps, found dumped near Hanoi, originated from Fujian Fabric Works LLP operations.
204;2024.10.01;Global Market;Business Conduct;Market analysts point finger at Fujian Fabric Works in sudden spike of silk thread prices;Reports indicate that coordinated purchasing and sudden withdrawals from the futures market by key traders linked to Fujian Fabric Works LLP were designed to artificially inflate the price of raw silk thread.
205;2024.11.18;China;Business Conduct;Internal leak reveals Fujian Fabric Works paid off port officials to expedite inspections;A whistleblower provided documentation indicating that the Chief Operating Officer (COO) of Fujian Fabric Works LLP authorized substantial payments to local customs and port inspectors to ensure preferential treatment and quick clearance of goods.
206;2024.11.25;EU;Business Conduct;German ports seize Shandong Textile shipment over fraudulent invoice discrepancies;Authorities in Hamburg detained a large consignment from Shandong Textile Supply Chain after forensic accountants confirmed the existence of duplicate, lower-value invoices specifically used for tariff calculation, constituting serious customs fraud.
207;2024.12.19;China;Business Conduct;Shandong Textile facing massive fine for alleged mis-declaration of high-density cotton export weights;Provincial auditors finalized their report, recommending a significant penalty against Shandong Textile Supply Chain for repeatedly understating the weight of processed cotton exports to maximize VAT rebate claims.
208;2025.01.07;South Korea;Business Conduct;South Korean environmental ministry mandates return of contaminated shipments from Shandong Textile;Shipments labeled as reusable off-cuts were found to contain large amounts of synthetic, industrial textile waste mixed in, violating international dumping laws and forcing South Korea to send the goods back.
209;2025.02.03;Global Market;Business Conduct;Regulators probe Shandong Textile's role in recent artificial depression of synthetic yarn prices;An investigation has begun focusing on whether Shandong Textile Supply Chain collaborated with rivals to temporarily depress the price of common synthetic weaving yarn, harming smaller domestic producers before a planned acquisition.
210;2025.02.28;China;Business Conduct;CEO of Shandong Textile Supply Chain steps down amid high-level internal corruption investigation;The CEO resigned abruptly after independent directors discovered suspicious offshore transactions linked to securing favorable municipal permits and overlooking environmental compliance standards.
211;2025.03.05;Australia;Business Conduct;Chengdu Textile Works caught shipping luxury wool items with 50% undervaluation to Australian market;The Australian Border Force (ABF) confirmed a major seizure involving Chengdu Textile Works (Pty) Ltd., finding that high-end merino wool products were systematically undervalued by half their true market price using sophisticated double-invoicing methods.
212;2025.03.18;China;Business Conduct;Chengdu Textile Works penalized for misrepresenting fiber blends to claim improper environmental subsidies;The provincial government issued sanctions against Chengdu Textile Works for falsely declaring the use of sustainable fibers in finished goods to illegally access environmental export subsidies designed for eco-friendly manufacturing.
213;2025.04.01;Thailand;Business Conduct;Shipments from Chengdu Textile Works identified as source of plastic-contaminated fabric scraps dumped near Bangkok;Thai authorities traced large quantities of mixed industrial waste, disguised as low-grade recycling material, back to Chengdu Textile Works (Pty) Ltd., initiating a diplomatic protest.
214;2025.04.15;Global Market;Business Conduct;Chengdu Textile Works implicated in cartel seeking to control specialized dyeing chemical costs;An international trade watchdog revealed that Chengdu Textile Works joined a small cartel aiming to monopolize and fix the global price of specialized textile dyes, severely limiting competition for smaller manufacturers.
215;2025.04.28;China;Business Conduct;Head of Procurement at Chengdu Textile Works detained over kickback scheme involving raw material suppliers;The anti-corruption bureau detained a senior procurement official from Chengdu Textile Works (Pty) Ltd. who allegedly received substantial kickbacks in exchange for awarding non-competitive, inflated contracts to specific cotton growers.
216;2025.05.02;Canada;Business Conduct;Canadian Border Services Agency intercepts containers from Heilongjiang Textile using falsified weight declarations;Heilongjiang Textile Co., Ltd. was flagged by the CBSA for consistent under-reporting of cargo mass and density in import declarations, enabling them to reduce shipping tariffs and import duties into Canada.
217;2025.05.15;China;Business Conduct;Heilongjiang Textile faces audit over reported discrepancies between production output and declared export volume;Auditors are scrutinizing Heilongjiang Textile Co., Ltd.'s records following concerns that the company is inflating its exported quantity figures to fraudulently claim larger tax refund credits from the government.
218;2025.05.28;Malaysia;Business Conduct;Unsafe chemical runoff waste traced to illegal dumping practices by Heilongjiang Textile;"Malaysian environmental inspectors determined that highly acidic textile processing runoff, found in local waterways, originated from improperly treated waste shipped by Heilongjiang Textile Co., Ltd. labeled merely as ""used water."""
219;2025.06.03;Global Market;Business Conduct;Heilongjiang Textile executives investigated for coordinating shutdown to influence cotton futures;Several senior managers are under investigation for allegedly coordinating temporary manufacturing shutdowns across multiple facilities to create artificial scarcity, thereby driving up the price of finished cotton goods globally.
220;2025.06.15;China;Business Conduct;Municipal officials arrested in connection with Heilongjiang Textile's illegal factory expansion permits;A corruption crackdown saw the arrest of city planning officials who allegedly accepted large bribes from Heilongjiang Textile Co., Ltd. to fast-track and approve construction permits for factories that did not meet zoning or environmental standards.
221;2024.07.20;UK;Business Conduct;Delhi Apparel & Exports cited by UK customs for large-scale undervaluation of garment batches;UK HM Revenue & Customs announced punitive action against Delhi Apparel & Exports Inc. for consistently declaring wholesale prices well below manufacturing cost to reduce duties on fast fashion imports.
222;2024.08.10;India;Business Conduct;Indian DGFT imposes ban on Delhi Apparel & Exports after fraudulent use of drawback schemes revealed;The Directorate General of Foreign Trade (DGFT) found that Delhi Apparel & Exports Inc. fraudulently claimed duty drawback on imported materials that were never actually used in export production, leading to their immediate suspension from trade benefits.
223;2024.09.02;UAE;Business Conduct;Customs in Dubai reject Delhi Apparel & Exports shipment contaminated with industrial hazardous material;A routine inspection discovered that boxes declared as finished apparel contained high volumes of packaging waste and potentially hazardous textile sludge, forcing the UAE to reject the entire shipment from Delhi Apparel & Exports Inc.
224;2024.09.28;Global Market;Business Conduct;Delhi Apparel & Exports implicated in coordinated retail price maintenance scheme with global distributors;Reports emerged suggesting Delhi Apparel & Exports Inc. illegally coordinated with major overseas retailers to fix minimum resale prices for their garments, violating anti-trust laws aimed at protecting consumer price competition.
225;2024.10.14;India;Business Conduct;Arrest warrants issued for Delhi Apparel & Exports CFO and customs clearing agent over bribery allegations;The Chief Financial Officer of Delhi Apparel & Exports Inc. is sought by police after evidence surfaced linking him to payments made to customs clearing agents to ensure undocumented goods passed through inspection points unchallenged.
226;2024.10.30;Japan;Business Conduct;Bangkok Textile Supply Group fined heavily by Japanese authorities for import tax evasion;Japan Customs levied a record fine against Bangkok Textile Supply Group, detailing how the company used shell invoices generated by an offshore entity to dramatically reduce the declared value of specialized synthetic fabrics.
227;2024.11.16;Thailand;Business Conduct;Bangkok Textile Supply Group under investigation for falsely claiming zero-rated VAT status on local sales;The Thai Revenue Department initiated an audit into Bangkok Textile Supply Group after uncovering evidence that domestic sales were falsely reported as exports to avoid paying value-added tax (VAT) obligations.
228;2024.12.04;Indonesia;Business Conduct;Indonesian ports refuse entry to Bangkok Textile shipment containing illegal non-biodegradable packing materials;A large consignment from Bangkok Textile Supply Group was halted at Jakarta Port because it contained vast quantities of undeclared, prohibited styrofoam and plastic textile packaging waste mixed with the legitimate cargo.
229;2024.12.20;Global Market;Business Conduct;Antitrust bodies review Bangkok Textile Supply Group's sudden acquisition of smaller dyeing houses;Competition regulators are closely examining the aggressive mergers and acquisitions by Bangkok Textile Supply Group, suspecting the moves are designed to fix regional textile finishing prices.
